,State,Month,Age,Vaccine,Republican.Rep.,Democratics.Rep.,Region,Season
424,Iowa,Mar,1,66,0.41,0.4,Midwest,Far
425,Kansas,Mar,1,63.16666667,0.46,0.31,Midwest,Far
426,Kentucky,Mar,1,62.13333333,0.44,0.43,South,Far
427,Louisiana,Mar,1,56.9,0.41,0.43,South,Far
428,Maine,Mar,1,63.3,0.36,0.47,Northeast,Far
429,9yland,Mar,1,71.86666667,0.31,0.55,South,Far
430,Massachusetts,Mar,1,79.26666667,0.27,0.56,Northeast,Far
431,Michigan,Mar,1,56.86666667,0.34,0.47,Midwest,Far
432,Minnesota,Mar,1,65.36666667,0.39,0.46,Midwest,Far
433,Mississippi,Mar,1,48.3,0.44,0.42,South,Far
434,Missouri,Mar,1,56.56666667,0.41,0.42,Midwest,Far
435,Montana,Mar,1,55,0.49,0.3,West,Far
436,Nebraska,Mar,1,67.56666667,0.47,0.36,Midwest,Far
437,Nevada,Mar,1,50.6,0.37,0.46,West,Far
438,New Hampshire,Mar,1,66.83333333,0.35,0.44,Northeast,Far
439,New Jersey,Mar,1,71.06666667,0.3,0.51,Northeast,Far
440,New Mexico,Mar,1,66.56666667,0.37,0.48,West,Far
441,New York,Mar,1,69.96666667,0.28,0.53,Northeast,Far
442,North Carolina,Mar,1,63.86666667,0.41,0.43,South,Far
443,North Dakota,Mar,1,64,0.5,0.33,Midwest,Far
444,Ohio,Mar,1,59.36666667,0.42,0.4,Midwest,Far
445,Oklahoma,Mar,1,56.16666667,0.45,0.4,South,Far
446,Oregon,Mar,1,61.6,0.32,0.47,West,Far
447,Pennsylvania,Mar,1,69.7,0.39,0.46,Northeast,Far
448,Rhode Island,Mar,1,77.66666667,0.3,0.48,Northeast,Far
449,South Carolina,Mar,1,58.46666667,0.43,0.39,South,Far
450,South Dakota,Mar,1,63.73333333,0.53,0.37,Midwest,Far
451,Tennessee,Mar,1,61.43333333,0.48,0.36,South,Far
452,Texas,Mar,1,61.73333333,0.39,0.4,South,Far
453,Utah,Mar,1,55.76666667,0.54,0.3,West,Far
454,Vermont,Mar,1,60.4,0.29,0.57,Northeast,Far
455,Virginia,Mar,1,69.33333333,0.43,0.39,South,Far
456,Washington,Mar,1,62.86666667,0.33,0.44,West,Far
457,West Virginia,Mar,1,56.6,0.43,0.41,South,Far
458,Wisconsin,Mar,1,59.43333333,0.42,0.42,Midwest,Far
459,Wyoming,Mar,1,44.6,0.57,0.25,West,Far
460,Alabama,Apr,1,60.3,0.52,0.35,South,Far
461,Alaska,Apr,1,54.9,0.39,0.32,West,Far
462,Arizona,Apr,1,56.23333333,0.4,0.39,West,Far
463,Arkansas,Apr,1,63.56666667,0.46,0.38,South,Far
464,California,Apr,1,63.2,0.3,0.49,West,Far
465,Colorado,Apr,1,64.3,0.41,0.42,West,Far
466,Connecticut,Apr,1,74.36666667,0.32,0.5,Northeast,Far
467,Delaware,Apr,1,65.8,0.29,0.55,South,Far
468,District of Columbia,Apr,1,73.76666667,NA,NA,South,Far
469,Florida,Apr,1,53.9,0.37,0.44,South,Far
470,Georgia,Apr,1,54.83333333,0.41,0.41,South,Far
471,Hawaii,Apr,1,61.2,0.28,0.51,West,Far
472,Idaho,Apr,1,49.06666667,0.49,0.32,West,Far
473,Illinois,Apr,1,60.66666667,0.33,0.48,Midwest,Far
474,Indiana,Apr,1,57.23333333,0.42,0.37,Midwest,Far
475,Iowa,Apr,1,66,0.41,0.4,Midwest,Far
476,Kansas,Apr,1,63.33333333,0.46,0.31,Midwest,Far
477,Kentucky,Apr,1,62.13333333,0.44,0.43,South,Far
478,Louisiana,Apr,1,57.33333333,0.41,0.43,South,Far
479,Maine,Apr,1,63.4,0.36,0.47,Northeast,Far
480,9yland,Apr,1,73.43333333,0.31,0.55,South,Far
481,Massachusetts,Apr,1,80.86666667,0.27,0.56,Northeast,Far
482,Michigan,Apr,1,57.63333333,0.34,0.47,Midwest,Far
483,Minnesota,Apr,1,65.36666667,0.39,0.46,Midwest,Far
484,Mississippi,Apr,1,48.8,0.44,0.42,South,Far
485,Missouri,Apr,1,57.2,0.41,0.42,Midwest,Far
486,Montana,Apr,1,55,0.49,0.3,West,Far
487,Nebraska,Apr,1,69.46666667,0.47,0.36,Midwest,Far
488,Nevada,Apr,1,51.26666667,0.37,0.46,West,Far
489,New Hampshire,Apr,1,67.46666667,0.35,0.44,Northeast,Far
490,New Jersey,Apr,1,72.46666667,0.3,0.51,Northeast,Far
491,New Mexico,Apr,1,66.96666667,0.37,0.48,West,Far
492,New York,Apr,1,70.2,0.28,0.53,Northeast,Far
493,North Carolina,Apr,1,65.2,0.41,0.43,South,Far
494,North Dakota,Apr,1,64.2,0.5,0.33,Midwest,Far
495,Ohio,Apr,1,60.03333333,0.42,0.4,Midwest,Far
496,Oklahoma,Apr,1,56.16666667,0.45,0.4,South,Far
497,Oregon,Apr,1,62.16666667,0.32,0.47,West,Far
498,Pennsylvania,Apr,1,70.2,0.39,0.46,Northeast,Far
499,Rhode Island,Apr,1,78,0.3,0.48,Northeast,Far
500,South Carolina,Apr,1,59.76666667,0.43,0.39,South,Far
501,South Dakota,Apr,1,66.33333333,0.53,0.37,Midwest,Far
502,Tennessee,Apr,1,62.3,0.48,0.36,South,Far
503,Texas,Apr,1,62.53333333,0.39,0.4,South,Far
504,Utah,Apr,1,57.4,0.54,0.3,West,Far
505,Vermont,Apr,1,60.56666667,0.29,0.57,Northeast,Far
506,Virginia,Apr,1,69.66666667,0.43,0.39,South,Far
507,Washington,Apr,1,63.3,0.33,0.44,West,Far
508,West Virginia,Apr,1,56.6,0.43,0.41,South,Far
509,Wisconsin,Apr,1,60.5,0.42,0.42,Midwest,Far
510,Wyoming,Apr,1,44.6,0.57,0.25,West,Far
511,Alabama,May,1,60.3,0.52,0.35,South,Far
512,Alaska,May,1,54.9,0.39,0.32,West,Far
513,Arizona,May,1,56.23333333,0.4,0.39,West,Far
514,Arkansas,May,1,63.56666667,0.46,0.38,South,Far
515,California,May,1,64.53333333,0.3,0.49,West,Far
516,Colorado,May,1,64.3,0.41,0.42,West,Far
517,Connecticut,May,1,75.5,0.32,0.5,Northeast,Far
518,Delaware,May,1,65.8,0.29,0.55,South,Far
519,District of Columbia,May,1,74.66666667,NA,NA,South,Far
520,Florida,May,1,54.33333333,0.37,0.44,South,Far
521,Georgia,May,1,55.6,0.41,0.41,South,Far
522,Hawaii,May,1,61.6,0.28,0.51,West,Far
523,Idaho,May,1,52.2,0.49,0.32,West,Far
524,Illinois,May,1,60.76666667,0.33,0.48,Midwest,Far
525,Indiana,May,1,57.23333333,0.42,0.37,Midwest,Far
526,Iowa,May,1,66.1,0.41,0.4,Midwest,Far
527,Kansas,May,1,63.33333333,0.46,0.31,Midwest,Far
528,Kentucky,May,1,65.06666667,0.44,0.43,South,Far
529,Louisiana,May,1,57.33333333,0.41,0.43,South,Far
530,Maine,May,1,63.4,0.36,0.47,Northeast,Far
531,9yland,May,1,73.43333333,0.31,0.55,South,Far
532,Massachusetts,May,1,81.6,0.27,0.56,Northeast,Far
533,Michigan,May,1,57.63333333,0.34,0.47,Midwest,Far
534,Minnesota,May,1,65.36666667,0.39,0.46,Midwest,Far
535,Mississippi,May,1,48.83333333,0.44,0.42,South,Far
536,Missouri,May,1,57.26666667,0.41,0.42,Midwest,Far
537,Montana,May,1,55,0.49,0.3,West,Far
538,Nebraska,May,1,69.46666667,0.47,0.36,Midwest,Far
539,Nevada,May,1,51.63333333,0.37,0.46,West,Far
540,New Hampshire,May,1,67.46666667,0.35,0.44,Northeast,Far
541,New Jersey,May,1,72.76666667,0.3,0.51,Northeast,Far
542,New Mexico,May,1,67.03333333,0.37,0.48,West,Far
543,New York,May,1,70.33333333,0.28,0.53,Northeast,Far
544,North Carolina,May,1,65.5,0.41,0.43,South,Far
545,North Dakota,May,1,64.2,0.5,0.33,Midwest,Far
546,Ohio,May,1,60.03333333,0.42,0.4,Midwest,Far
547,Oklahoma,May,1,56.36666667,0.45,0.4,South,Far
548,Oregon,May,1,62.16666667,0.32,0.47,West,Far
549,Pennsylvania,May,1,70.63333333,0.39,0.46,Northeast,Far
550,Rhode Island,May,1,78.66666667,0.3,0.48,Northeast,Far
551,South Carolina,May,1,59.76666667,0.43,0.39,South,Far
552,South Dakota,May,1,67.4,0.53,0.37,Midwest,Far
553,Tennessee,May,1,62.5,0.48,0.36,South,Far
554,Texas,May,1,62.8,0.39,0.4,South,Far
555,Utah,May,1,57.4,0.54,0.3,West,Far
556,Vermont,May,1,60.56666667,0.29,0.57,Northeast,Far
557,Virginia,May,1,69.66666667,0.43,0.39,South,Far
558,Washington,May,1,63.5,0.33,0.44,West,Far
559,West Virginia,May,1,56.6,0.43,0.41,South,Far
560,Wisconsin,May,1,60.5,0.42,0.42,Midwest,Far
561,Wyoming,May,1,44.73333333,0.57,0.25,West,Far
562,Alabama,Jul,2,0,0.52,0.35,South,Far
563,Alaska,Jul,2,0,0.39,0.32,West,Far
564,Arizona,Jul,2,0,0.4,0.39,West,Far
565,Arkansas,Jul,2,0,0.46,0.38,South,Far
566,California,Jul,2,0,0.3,0.49,West,Far
567,Colorado,Jul,2,0,0.41,0.42,West,Far
568,Connecticut,Jul,2,0,0.32,0.5,Northeast,Far
569,Delaware,Jul,2,0,0.29,0.55,South,Far
570,District of Columbia,Jul,2,NA,NA,NA,South,Far
571,Florida,Jul,2,0,0.37,0.44,South,Far
572,Georgia,Jul,2,0,0.41,0.41,South,Far
573,Hawaii,Jul,2,0,0.28,0.51,West,Far
574,Idaho,Jul,2,0,0.49,0.32,West,Far
575,Illinois,Jul,2,0,0.33,0.48,Midwest,Far
576,Indiana,Jul,2,0,0.42,0.37,Midwest,Far
577,Iowa,Jul,2,0,0.41,0.4,Midwest,Far
578,Kansas,Jul,2,0,0.46,0.31,Midwest,Far
579,Kentucky,Jul,2,0,0.44,0.43,South,Far
580,Louisiana,Jul,2,0,0.41,0.43,South,Far
581,Maine,Jul,2,0,0.36,0.47,Northeast,Far
582,9yland,Jul,2,0,0.31,0.55,South,Far
583,Massachusetts,Jul,2,0,0.27,0.56,Northeast,Far
584,Michigan,Jul,2,0,0.34,0.47,Midwest,Far
585,Minnesota,Jul,2,0,0.39,0.46,Midwest,Far
586,Mississippi,Jul,2,0,0.44,0.42,South,Far
587,Missouri,Jul,2,0,0.41,0.42,Midwest,Far
588,Montana,Jul,2,0,0.49,0.3,West,Far
589,Nebraska,Jul,2,0,0.47,0.36,Midwest,Far
590,Nevada,Jul,2,0,0.37,0.46,West,Far
591,New Hampshire,Jul,2,0,0.35,0.44,Northeast,Far
592,New Jersey,Jul,2,NA,0.3,0.51,Northeast,Far
593,New Mexico,Jul,2,0,0.37,0.48,West,Far
594,New York,Jul,2,0,0.28,0.53,Northeast,Far
595,North Carolina,Jul,2,0,0.41,0.43,South,Far
596,North Dakota,Jul,2,0,0.5,0.33,Midwest,Far
597,Ohio,Jul,2,0,0.42,0.4,Midwest,Far
598,Oklahoma,Jul,2,0,0.45,0.4,South,Far
599,Oregon,Jul,2,0.7,0.32,0.47,West,Far
600,Pennsylvania,Jul,2,0,0.39,0.46,Northeast,Far
601,Rhode Island,Jul,2,0,0.3,0.48,Northeast,Far
602,South Carolina,Jul,2,0,0.43,0.39,South,Far
603,South Dakota,Jul,2,0,0.53,0.37,Midwest,Far
604,Tennessee,Jul,2,0,0.48,0.36,South,Far
605,Texas,Jul,2,0,0.39,0.4,South,Far
606,Utah,Jul,2,0,0.54,0.3,West,Far
607,Vermont,Jul,2,0,0.29,0.57,Northeast,Far
608,Virginia,Jul,2,0,0.43,0.39,South,Far
609,Washington,Jul,2,0,0.33,0.44,West,Far
610,West Virginia,Jul,2,0,0.43,0.41,South,Far
611,Wisconsin,Jul,2,0,0.42,0.42,Midwest,Far
612,Wyoming,Jul,2,0,0.57,0.25,West,Far
613,Alabama,Aug,2,0,0.52,0.35,South,Far
614,Alaska,Aug,2,0,0.39,0.32,West,Far
615,Arizona,Aug,2,0,0.4,0.39,West,Far
616,Arkansas,Aug,2,0,0.46,0.38,South,Far
617,California,Aug,2,1.7,0.3,0.49,West,Far
618,Colorado,Aug,2,1.3,0.41,0.42,West,Far
619,Connecticut,Aug,2,0,0.32,0.5,Northeast,Far
620,Delaware,Aug,2,0,0.29,0.55,South,Far
621,District of Columbia,Aug,2,NA,NA,NA,South,Far
622,Florida,Aug,2,1.7,0.37,0.44,South,Far
623,Georgia,Aug,2,0,0.41,0.41,South,Far
624,Hawaii,Aug,2,2.2,0.28,0.51,West,Far
625,Idaho,Aug,2,0,0.49,0.32,West,Far
626,Illinois,Aug,2,2,0.33,0.48,Midwest,Far
627,Indiana,Aug,2,1.3,0.42,0.37,Midwest,Far
628,Iowa,Aug,2,1.2,0.41,0.4,Midwest,Far
629,Kansas,Aug,2,1.1,0.46,0.31,Midwest,Far
630,Kentucky,Aug,2,0,0.44,0.43,South,Far
631,Louisiana,Aug,2,1.2,0.41,0.43,South,Far
632,Maine,Aug,2,0,0.36,0.47,Northeast,Far
633,9yland,Aug,2,1.5,0.31,0.55,South,Far
634,Massachusetts,Aug,2,1.9,0.27,0.56,Northeast,Far
635,Michigan,Aug,2,1,0.34,0.47,Midwest,Far
636,Minnesota,Aug,2,1.1,0.39,0.46,Midwest,Far
637,Mississippi,Aug,2,0,0.44,0.42,South,Far
638,Missouri,Aug,2,1.2,0.41,0.42,Midwest,Far
639,Montana,Aug,2,0,0.49,0.3,West,Far
640,Nebraska,Aug,2,0.9,0.47,0.36,Midwest,Far
641,Nevada,Aug,2,0,0.37,0.46,West,Far
642,New Hampshire,Aug,2,0,0.35,0.44,Northeast,Far
643,New Jersey,Aug,2,NA,0.3,0.51,Northeast,Far
644,New Mexico,Aug,2,1.2,0.37,0.48,West,Far
645,New York,Aug,2,1.2,0.28,0.53,Northeast,Far
646,North Carolina,Aug,2,1.7,0.41,0.43,South,Far
647,North Dakota,Aug,2,0,0.5,0.33,Midwest,Far
648,Ohio,Aug,2,1.4,0.42,0.4,Midwest,Far
649,Oklahoma,Aug,2,0,0.45,0.4,South,Far
650,Oregon,Aug,2,1.1,0.32,0.47,West,Far
651,Pennsylvania,Aug,2,1.2,0.39,0.46,Northeast,Far
652,Rhode Island,Aug,2,0,0.3,0.48,Northeast,Far
653,South Carolina,Aug,2,1.5,0.43,0.39,South,Far
654,South Dakota,Aug,2,0,0.53,0.37,Midwest,Far
655,Tennessee,Aug,2,0.7,0.48,0.36,South,Far
656,Texas,Aug,2,1.2,0.39,0.4,South,Far
657,Utah,Aug,2,0.9,0.54,0.3,West,Far
658,Vermont,Aug,2,0,0.29,0.57,Northeast,Far
659,Virginia,Aug,2,1,0.43,0.39,South,Far
660,Washington,Aug,2,1.7,0.33,0.44,West,Far
661,West Virginia,Aug,2,0,0.43,0.41,South,Far
662,Wisconsin,Aug,2,0,0.42,0.42,Midwest,Far
663,Wyoming,Aug,2,0,0.57,0.25,West,Far
664,Alabama,Sep,2,5.9,0.52,0.35,South,Near
665,Alaska,Sep,2,6.6,0.39,0.32,West,Near
666,Arizona,Sep,2,5.4,0.4,0.39,West,Near
667,Arkansas,Sep,2,4.3,0.46,0.38,South,Near
668,California,Sep,2,6.1,0.3,0.49,West,Near
669,Colorado,Sep,2,5.8,0.41,0.42,West,Near
670,Connecticut,Sep,2,3.7,0.32,0.5,Northeast,Near
671,Delaware,Sep,2,5.8,0.29,0.55,South,Near
672,District of Columbia,Sep,2,NA,NA,NA,South,Near
673,Florida,Sep,2,5.3,0.37,0.44,South,Near
674,Georgia,Sep,2,5.1,0.41,0.41,South,Near
675,Hawaii,Sep,2,7.5,0.28,0.51,West,Near
676,Idaho,Sep,2,5,0.49,0.32,West,Near
677,Illinois,Sep,2,6.2,0.33,0.48,Midwest,Near
678,Indiana,Sep,2,5.1,0.42,0.37,Midwest,Near
679,Iowa,Sep,2,6.9,0.41,0.4,Midwest,Near
680,Kansas,Sep,2,5.5,0.46,0.31,Midwest,Near
681,Kentucky,Sep,2,6.7,0.44,0.43,South,Near
682,Louisiana,Sep,2,4,0.41,0.43,South,Near
683,Maine,Sep,2,4.5,0.36,0.47,Northeast,Near
684,9yland,Sep,2,7.4,0.31,0.55,South,Near
685,Massachusetts,Sep,2,7,0.27,0.56,Northeast,Near
686,Michigan,Sep,2,4.9,0.34,0.47,Midwest,Near
687,Minnesota,Sep,2,7,0.39,0.46,Midwest,Near
688,Mississippi,Sep,2,3.6,0.44,0.42,South,Near
689,Missouri,Sep,2,5.3,0.41,0.42,Midwest,Near
690,Montana,Sep,2,4.5,0.49,0.3,West,Near
691,Nebraska,Sep,2,5.5,0.47,0.36,Midwest,Near
692,Nevada,Sep,2,4.3,0.37,0.46,West,Near
693,New Hampshire,Sep,2,4.7,0.35,0.44,Northeast,Near
694,New Jersey,Sep,2,NA,0.3,0.51,Northeast,Near
695,New Mexico,Sep,2,4.9,0.37,0.48,West,Near
696,New York,Sep,2,5.4,0.28,0.53,Northeast,Near
697,North Carolina,Sep,2,6,0.41,0.43,South,Near
698,North Dakota,Sep,2,3.9,0.5,0.33,Midwest,Near
699,Ohio,Sep,2,5.7,0.42,0.4,Midwest,Near
700,Oklahoma,Sep,2,4.7,0.45,0.4,South,Near
701,Oregon,Sep,2,5,0.32,0.47,West,Near
702,Pennsylvania,Sep,2,6.1,0.39,0.46,Northeast,Near
703,Rhode Island,Sep,2,5.7,0.3,0.48,Northeast,Near
704,South Carolina,Sep,2,4.6,0.43,0.39,South,Near
705,South Dakota,Sep,2,4.5,0.53,0.37,Midwest,Near
706,Tennessee,Sep,2,4.7,0.48,0.36,South,Near
707,Texas,Sep,2,5.6,0.39,0.4,South,Near
708,Utah,Sep,2,6.1,0.54,0.3,West,Near
709,Vermont,Sep,2,3.8,0.29,0.57,Northeast,Near
710,Virginia,Sep,2,6.3,0.43,0.39,South,Near
711,Washington,Sep,2,7.3,0.33,0.44,West,Near
712,West Virginia,Sep,2,4.1,0.43,0.41,South,Near
713,Wisconsin,Sep,2,5.7,0.42,0.42,Midwest,Near
714,Wyoming,Sep,2,2.7,0.57,0.25,West,Near
715,Alabama,Oct,2,17.2,0.52,0.35,South,Near
716,Alaska,Oct,2,17.6,0.39,0.32,West,Near
717,Arizona,Oct,2,16.2,0.4,0.39,West,Near
718,Arkansas,Oct,2,19.1,0.46,0.38,South,Near
719,California,Oct,2,15.2,0.3,0.49,West,Near
720,Colorado,Oct,2,20,0.41,0.42,West,Near
721,Connecticut,Oct,2,20.1,0.32,0.5,Northeast,Near
722,Delaware,Oct,2,16.5,0.29,0.55,South,Near
723,District of Columbia,Oct,2,NA,NA,NA,South,Near
724,Florida,Oct,2,12.5,0.37,0.44,South,Near
725,Georgia,Oct,2,15.6,0.41,0.41,South,Near
726,Hawaii,Oct,2,15.8,0.28,0.51,West,Near
727,Idaho,Oct,2,18,0.49,0.32,West,Near
728,Illinois,Oct,2,15.6,0.33,0.48,Midwest,Near
729,Indiana,Oct,2,15,0.42,0.37,Midwest,Near
730,Iowa,Oct,2,23.5,0.41,0.4,Midwest,Near
731,Kansas,Oct,2,22.3,0.46,0.31,Midwest,Near
732,Kentucky,Oct,2,18.7,0.44,0.43,South,Near
733,Louisiana,Oct,2,12.7,0.41,0.43,South,Near
734,Maine,Oct,2,16.2,0.36,0.47,Northeast,Near
735,9yland,Oct,2,22.4,0.31,0.55,South,Near
736,Massachusetts,Oct,2,22.1,0.27,0.56,Northeast,Near
737,Michigan,Oct,2,17,0.34,0.47,Midwest,Near
738,Minnesota,Oct,2,22.9,0.39,0.46,Midwest,Near
739,Mississippi,Oct,2,14.9,0.44,0.42,South,Near
740,Missouri,Oct,2,20.2,0.41,0.42,Midwest,Near
741,Montana,Oct,2,19,0.49,0.3,West,Near
742,Nebraska,Oct,2,22.7,0.47,0.36,Midwest,Near
743,Nevada,Oct,2,13.3,0.37,0.46,West,Near
744,New Hampshire,Oct,2,17.6,0.35,0.44,Northeast,Near
745,New Jersey,Oct,2,NA,0.3,0.51,Northeast,Near
746,New Mexico,Oct,2,16.5,0.37,0.48,West,Near
747,New York,Oct,2,16.3,0.28,0.53,Northeast,Near
748,North Carolina,Oct,2,23.3,0.41,0.43,South,Near
749,North Dakota,Oct,2,22.1,0.5,0.33,Midwest,Near
750,Ohio,Oct,2,19.3,0.42,0.4,Midwest,Near
751,Oklahoma,Oct,2,20.5,0.45,0.4,South,Near
752,Oregon,Oct,2,16.4,0.32,0.47,West,Near
753,Pennsylvania,Oct,2,21,0.39,0.46,Northeast,Near
754,Rhode Island,Oct,2,21,0.3,0.48,Northeast,Near
755,South Carolina,Oct,2,14.6,0.43,0.39,South,Near
756,South Dakota,Oct,2,21.9,0.53,0.37,Midwest,Near
757,Tennessee,Oct,2,17.9,0.48,0.36,South,Near
758,Texas,Oct,2,16,0.39,0.4,South,Near
759,Utah,Oct,2,19.4,0.54,0.3,West,Near
760,Vermont,Oct,2,18.3,0.29,0.57,Northeast,Near
761,Virginia,Oct,2,22.3,0.43,0.39,South,Near
762,Washington,Oct,2,21.5,0.33,0.44,West,Near
763,West Virginia,Oct,2,17.7,0.43,0.41,South,Near
764,Wisconsin,Oct,2,18.3,0.42,0.42,Midwest,Near
765,Wyoming,Oct,2,14.4,0.57,0.25,West,Near
766,Alabama,Nov,2,22,0.52,0.35,South,Near
767,Alaska,Nov,2,24.1,0.39,0.32,West,Near
768,Arizona,Nov,2,21.9,0.4,0.39,West,Near
769,Arkansas,Nov,2,26.7,0.46,0.38,South,Near
770,California,Nov,2,21.9,0.3,0.49,West,Near
771,Colorado,Nov,2,27.5,0.41,0.42,West,Near
772,Connecticut,Nov,2,29.1,0.32,0.5,Northeast,Near
773,Delaware,Nov,2,21.6,0.29,0.55,South,Near
774,District of Columbia,Nov,2,NA,NA,NA,South,Near
775,Florida,Nov,2,17.9,0.37,0.44,South,Near
776,Georgia,Nov,2,21.1,0.41,0.41,South,Near
777,Hawaii,Nov,2,22.5,0.28,0.51,West,Near
778,Idaho,Nov,2,24.6,0.49,0.32,West,Near
779,Illinois,Nov,2,22.4,0.33,0.48,Midwest,Near
780,Indiana,Nov,2,22.8,0.42,0.37,Midwest,Near
781,Iowa,Nov,2,32.2,0.41,0.4,Midwest,Near
782,Kansas,Nov,2,30.9,0.46,0.31,Midwest,Near
783,Kentucky,Nov,2,25.4,0.44,0.43,South,Near
784,Louisiana,Nov,2,17,0.41,0.43,South,Near
785,Maine,Nov,2,25.1,0.36,0.47,Northeast,Near
786,9yland,Nov,2,30.3,0.31,0.55,South,Near
787,Massachusetts,Nov,2,30.7,0.27,0.56,Northeast,Near
788,Michigan,Nov,2,21.9,0.34,0.47,Midwest,Near
789,Minnesota,Nov,2,31.7,0.39,0.46,Midwest,Near
790,Mississippi,Nov,2,20.4,0.44,0.42,South,Near
791,Missouri,Nov,2,27.3,0.41,0.42,Midwest,Near
792,Montana,Nov,2,26.1,0.49,0.3,West,Near
793,Nebraska,Nov,2,31.2,0.47,0.36,Midwest,Near
794,Nevada,Nov,2,15.8,0.37,0.46,West,Near
795,New Hampshire,Nov,2,26.6,0.35,0.44,Northeast,Near
796,New Jersey,Nov,2,NA,0.3,0.51,Northeast,Near
797,New Mexico,Nov,2,23.1,0.37,0.48,West,Near
798,New York,Nov,2,25.3,0.28,0.53,Northeast,Near
799,North Carolina,Nov,2,30.6,0.41,0.43,South,Near
800,North Dakota,Nov,2,31.6,0.5,0.33,Midwest,Near
801,Ohio,Nov,2,26.9,0.42,0.4,Midwest,Near
802,Oklahoma,Nov,2,29.2,0.45,0.4,South,Near
803,Oregon,Nov,2,23.7,0.32,0.47,West,Near
804,Pennsylvania,Nov,2,28.9,0.39,0.46,Northeast,Near
805,Rhode Island,Nov,2,33.9,0.3,0.48,Northeast,Near
806,South Carolina,Nov,2,21.6,0.43,0.39,South,Near
807,South Dakota,Nov,2,32.6,0.53,0.37,Midwest,Near
808,Tennessee,Nov,2,23.8,0.48,0.36,South,Near
809,Texas,Nov,2,22.5,0.39,0.4,South,Near
810,Utah,Nov,2,27,0.54,0.3,West,Near
811,Vermont,Nov,2,29.3,0.29,0.57,Northeast,Near
812,Virginia,Nov,2,30.6,0.43,0.39,South,Near
813,Washington,Nov,2,30.6,0.33,0.44,West,Near
814,West Virginia,Nov,2,26.9,0.43,0.41,South,Near
815,Wisconsin,Nov,2,28.2,0.42,0.42,Midwest,Near
816,Wyoming,Nov,2,21.4,0.57,0.25,West,Near
817,Alabama,Dec,2,24.6,0.52,0.35,South,Flu
818,Alaska,Dec,2,25.8,0.39,0.32,West,Flu
819,Arizona,Dec,2,24.9,0.4,0.39,West,Flu
820,Arkansas,Dec,2,28.1,0.46,0.38,South,Flu
821,California,Dec,2,25.6,0.3,0.49,West,Flu
822,Colorado,Dec,2,30.9,0.41,0.42,West,Flu
823,Connecticut,Dec,2,32.6,0.32,0.5,Northeast,Flu
824,Delaware,Dec,2,26.1,0.29,0.55,South,Flu
825,District of Columbia,Dec,2,NA,NA,NA,South,Flu
826,Florida,Dec,2,19.9,0.37,0.44,South,Flu
827,Georgia,Dec,2,24.6,0.41,0.41,South,Flu
828,Hawaii,Dec,2,26.3,0.28,0.51,West,Flu
829,Idaho,Dec,2,27.3,0.49,0.32,West,Flu
830,Illinois,Dec,2,25.4,0.33,0.48,Midwest,Flu
831,Indiana,Dec,2,27.1,0.42,0.37,Midwest,Flu
832,Iowa,Dec,2,35.8,0.41,0.4,Midwest,Flu
833,Kansas,Dec,2,33.7,0.46,0.31,Midwest,Flu
834,Kentucky,Dec,2,29.6,0.44,0.43,South,Flu
835,Louisiana,Dec,2,18.6,0.41,0.43,South,Flu
836,Maine,Dec,2,27.9,0.36,0.47,Northeast,Flu
837,9yland,Dec,2,33.3,0.31,0.55,South,Flu
838,Massachusetts,Dec,2,35.8,0.27,0.56,Northeast,Flu
839,Michigan,Dec,2,24.9,0.34,0.47,Midwest,Flu
840,Minnesota,Dec,2,34.9,0.39,0.46,Midwest,Flu
841,Mississippi,Dec,2,22.1,0.44,0.42,South,Flu
842,Missouri,Dec,2,30.7,0.41,0.42,Midwest,Flu
843,Montana,Dec,2,28.3,0.49,0.3,West,Flu
844,Nebraska,Dec,2,34.9,0.47,0.36,Midwest,Flu
845,Nevada,Dec,2,18.1,0.37,0.46,West,Flu
846,New Hampshire,Dec,2,29.7,0.35,0.44,Northeast,Flu
847,New Jersey,Dec,2,NA,0.3,0.51,Northeast,Flu
848,New Mexico,Dec,2,26,0.37,0.48,West,Flu
849,New York,Dec,2,29.9,0.28,0.53,Northeast,Flu
850,North Carolina,Dec,2,33.3,0.41,0.43,South,Flu
851,North Dakota,Dec,2,34,0.5,0.33,Midwest,Flu
852,Ohio,Dec,2,30.6,0.42,0.4,Midwest,Flu
853,Oklahoma,Dec,2,32,0.45,0.4,South,Flu
854,Oregon,Dec,2,26.5,0.32,0.47,West,Flu
855,Pennsylvania,Dec,2,30.7,0.39,0.46,Northeast,Flu
856,Rhode Island,Dec,2,37.3,0.3,0.48,Northeast,Flu
857,South Carolina,Dec,2,24.4,0.43,0.39,South,Flu
858,South Dakota,Dec,2,36.1,0.53,0.37,Midwest,Flu
859,Tennessee,Dec,2,26.6,0.48,0.36,South,Flu
860,Texas,Dec,2,26.2,0.39,0.4,South,Flu
861,Utah,Dec,2,29.5,0.54,0.3,West,Flu
862,Vermont,Dec,2,33.5,0.29,0.57,Northeast,Flu
863,Virginia,Dec,2,34,0.43,0.39,South,Flu
864,Washington,Dec,2,34.4,0.33,0.44,West,Flu
865,West Virginia,Dec,2,28.2,0.43,0.41,South,Flu
866,Wisconsin,Dec,2,32.3,0.42,0.42,Midwest,Flu
867,Wyoming,Dec,2,24.7,0.57,0.25,West,Flu
